,Monocyte,NK,B,DC,T_cell
ext_71,0.1292470395565033,0.5415130853652954,0.06730207800865173,0.1779092401266098,0.08402858674526215
ext_72,0.16387103497982025,0.43957388401031494,0.022595038637518883,0.3066357672214508,0.06732424348592758
ext_73,0.11647864431142807,0.29827889800071716,0.2192787528038025,0.30118221044540405,0.06478148698806763
ext_74,0.1293952912092209,0.015889933332800865,0.13329826295375824,0.39516136050224304,0.3262551426887512
ext_75,0.11544527113437653,0.1954556256532669,0.24699415266513824,0.39547520875930786,0.046629734337329865
ext_76,0.22540800273418427,0.11388740688562393,0.07492344826459885,0.30817121267318726,0.2776099145412445
ext_77,0.10723922401666641,0.17690378427505493,0.24356885254383087,0.355871319770813,0.1164168268442154
ext_78,0.29577580094337463,0.2990990877151489,0.12599197030067444,0.21871507167816162,0.06041807308793068
ext_79,0.06543108820915222,0.12010713666677475,0.4145500063896179,0.31199151277542114,0.08792026340961456
ext_80,0.12317292392253876,0.09782019257545471,0.23371939361095428,0.5427994132041931,0.002488073194399476
ext_81,0.5531103014945984,0.010438600555062294,0.029695022851228714,0.25251808762550354,0.1542380452156067
ext_82,0.12360049039125443,0.15534992516040802,0.31282684206962585,0.340427041053772,0.06779570877552032
ext_83,0.2783319354057312,0.10880203545093536,0.05973376706242561,0.31401821970939636,0.23911406099796295
ext_84,0.17796212434768677,0.28941595554351807,0.09414917230606079,0.29867324233055115,0.13979950547218323
ext_85,0.24020802974700928,0.005562835838645697,0.125275120139122,0.29524388909339905,0.3337101340293884
ext_86,0.06006426364183426,0.5344879627227783,0.11813657730817795,0.284669429063797,0.0026418077759444714
ext_87,0.04068424180150032,0.0,0.19838544726371765,0.2841825783252716,0.4767477512359619
ext_88,0.29872405529022217,0.1700230836868286,0.08081058412790298,0.24272693693637848,0.20771533250808716
ext_89,0.4372888207435608,0.1504032015800476,0.05716188997030258,0.35117870569229126,0.003967416472733021
ext_90,0.22190885245800018,0.0021448032930493355,0.16280274093151093,0.32233741879463196,0.2908061742782593
ext_91,0.048845984041690826,0.11852721869945526,0.11373362690210342,0.28727808594703674,0.43161505460739136
ext_92,0.12109146267175674,0.17275433242321014,0.08624192327260971,0.28337574005126953,0.3365365266799927
ext_93,0.1291957050561905,0.31313127279281616,0.05904114246368408,0.3060143291950226,0.1926175355911255
ext_94,0.37594813108444214,0.0851714164018631,0.08121642470359802,0.3181079626083374,0.13955606520175934
ext_95,0.0778488963842392,0.5766932964324951,0.019793856889009476,0.28555911779403687,0.040104832500219345
ext_96,0.01341664046049118,0.0008796291658654809,0.5427441596984863,0.34813910722732544,0.09482049196958542
ext_97,0.16253282129764557,0.47170397639274597,0.09098447859287262,0.18203695118427277,0.09274173527956009
ext_98,0.10857842117547989,0.0032676795963197947,0.35591888427734375,0.215973898768425,0.3162611424922943
ext_99,0.10747106373310089,0.029662441462278366,0.2161598950624466,0.30931469798088074,0.3373919427394867
ext_100,0.12097641080617905,0.17916609346866608,0.34214097261428833,0.2725372016429901,0.08517929166555405
ext_101,0.05470762774348259,0.0007833968847990036,0.12898671627044678,0.3847298324108124,0.4307923913002014
ext_102,0.02152884565293789,0.5414311289787292,0.03927481546998024,0.2526567876338959,0.1451084017753601
ext_103,0.02648370899260044,0.40623557567596436,0.22302311658859253,0.26225540041923523,0.08200222253799438
ext_104,0.026210708543658257,0.2933749258518219,0.31838783621788025,0.2728070318698883,0.08921946585178375
ext_105,0.33326902985572815,0.06131550669670105,0.17142009735107422,0.17807094752788544,0.25592443346977234
ext_106,0.04843258857727051,0.19730022549629211,0.08872226625680923,0.35257408022880554,0.3129708170890808
ext_107,0.046612709760665894,0.2823052406311035,0.3629343807697296,0.24828538298606873,0.05986231192946434
ext_108,0.07651343941688538,0.0,0.2683767080307007,0.15692700445652008,0.49818283319473267
ext_109,0.0034802330192178488,0.21418066322803497,0.17132438719272614,0.2369917631149292,0.3740229308605194
ext_110,0.44817960262298584,0.13047060370445251,0.048336178064346313,0.3512842655181885,0.021729368716478348
ext_111,0.048769693821668625,0.007701767608523369,0.26132893562316895,0.3431226313114166,0.33907702565193176
ext_112,0.10140524804592133,0.08280108124017715,0.06600577384233475,0.31344375014305115,0.436344176530838
ext_113,0.05350722372531891,0.37750759720802307,0.06743864715099335,0.3725380003452301,0.12900854647159576
ext_114,0.02282046340405941,0.006628264673054218,0.5764244198799133,0.3357066810131073,0.05842021480202675
ext_115,0.23798151314258575,0.4121560752391815,0.11185550689697266,0.2205541580915451,0.01745273731648922
ext_116,0.18418514728546143,0.19788137078285217,0.1967739462852478,0.3688806891441345,0.05227884277701378
ext_117,0.02253260649740696,0.0002812823513522744,0.4692317843437195,0.3420047461986542,0.16594955325126648
ext_118,0.06554874777793884,0.557262659072876,0.01094207726418972,0.3610225319862366,0.005223977379500866
ext_119,0.4429670572280884,0.13574892282485962,0.030001336708664894,0.28671348094940186,0.10456916689872742
ext_120,0.00023185703321360052,0.053640350699424744,0.5601391792297363,0.3106609880924225,0.07532761991024017
ext_121,0.4391161799430847,0.06113017722964287,0.09099647402763367,0.3581799566745758,0.05057726427912712
ext_122,0.07768144458532333,0.0,0.42993441224098206,0.26811814308166504,0.22426599264144897
ext_123,0.09809914231300354,0.153963103890419,0.33635246753692627,0.22675256431102753,0.18483270704746246
ext_124,0.0002644091728143394,0.0,0.3817373514175415,0.1403089165687561,0.47768929600715637
ext_125,0.0457027405500412,0.03884904831647873,0.15940433740615845,0.28359898924827576,0.47244489192962646
ext_126,0.532650351524353,0.038265470415353775,0.03932521492242813,0.34755828976631165,0.042200714349746704
ext_127,0.2805766463279724,0.036210592836141586,0.04507474601268768,0.3830852806568146,0.25505271553993225
ext_128,0.40522700548171997,0.020719237625598907,0.059943608939647675,0.17128916084766388,0.34282100200653076
ext_129,0.22160327434539795,0.3057106137275696,0.15005366504192352,0.30371689796447754,0.018915541470050812
ext_130,0.004495151340961456,0.11483588814735413,0.5669850707054138,0.21385501325130463,0.09982886165380478
ext_131,0.29789602756500244,0.09886247664690018,0.037509020417928696,0.38408076763153076,0.18165171146392822
ext_132,0.2585143744945526,0.12747356295585632,0.27234694361686707,0.33178389072418213,0.009881231002509594
ext_133,0.3503156006336212,0.05364173278212547,0.08531860262155533,0.3123345971107483,0.19838947057724
ext_134,0.3031676411628723,0.21016114950180054,0.0700896680355072,0.3682342767715454,0.04834721237421036
ext_135,0.33021262288093567,0.013671276159584522,0.23489810526371002,0.3452284336090088,0.07598961144685745
ext_136,0.11427374184131622,0.10920518636703491,0.08423078805208206,0.31545233726501465,0.37683796882629395
ext_137,0.13004308938980103,0.0004822830087505281,0.39673134684562683,0.28189635276794434,0.19084693491458893
ext_138,0.06667164713144302,0.1268967241048813,0.08218829333782196,0.19967004656791687,0.5245732665061951
ext_139,0.0009430444333702326,0.044670719653367996,0.40273162722587585,0.35520854592323303,0.19644609093666077
ext_140,0.07175400108098984,0.46353432536125183,0.17956329882144928,0.22565871477127075,0.0594896525144577
ext_141,0.026916630566120148,0.28623858094215393,0.18554338812828064,0.3373502492904663,0.16395112872123718
ext_142,0.04263535514473915,0.02351994998753071,0.18913140892982483,0.20220594108104706,0.5425073504447937
ext_143,0.19196264445781708,0.45581790804862976,0.06962762027978897,0.2815602421760559,0.0010315612889826298
ext_144,0.16442783176898956,0.558022677898407,0.03842851519584656,0.22406896948814392,0.015052037313580513
ext_145,0.4050656855106354,0.17115969955921173,0.06155126169323921,0.3215678334236145,0.0406554751098156
ext_146,0.3709489107131958,0.2548485994338989,0.1261100172996521,0.21355929970741272,0.03453318774700165
ext_147,0.001961298054084182,0.18003347516059875,0.37722885608673096,0.21698814630508423,0.22378824651241302
ext_148,0.0001057074114214629,0.0,0.6437225341796875,0.35389599204063416,0.0022757912520319223
ext_149,0.20125606656074524,0.0005875242641195655,0.44924604892730713,0.284021258354187,0.0648890882730484
