,Monocyte,NK,B,DC,T_cell
ext_60,0.00891947839409113,0.026214100420475006,0.016307827085256577,0.017189426347613335,0.023749331012368202
ext_61,0.010483033023774624,0.023994093760848045,0.015879111364483833,0.017494559288024902,0.022081591188907623
ext_62,0.023669155314564705,0.0031648168805986643,0.016270237043499947,0.02406296506524086,0.016792483627796173
ext_63,0.024893641471862793,0.015319348312914371,0.017132364213466644,0.02686588652431965,0.021048299968242645
ext_64,0.000393271999200806,0.01320495642721653,0.024554748088121414,0.015540100634098053,0.027763932943344116
ext_65,0.023038525134325027,0.003696204861626029,0.026094118133187294,0.02652469091117382,0.027411798015236855
ext_66,0.022394753992557526,0.018164481967687607,0.015832360833883286,0.02259373664855957,0.020966487005352974
ext_67,0.023376589640975,0.017154933884739876,0.016024695709347725,0.02572176419198513,0.019481796771287918
ext_68,0.023669177666306496,0.007053913548588753,0.018442559987306595,0.027406787499785423,0.019653908908367157
ext_69,0.023743322119116783,0.007440099027007818,0.027684632688760757,0.026647791266441345,0.0308998990803957
ext_70,0.0249467846006155,0.012391520664095879,0.021735399961471558,0.027634555473923683,0.024879084900021553
ext_71,0.024218933656811714,0.024429313838481903,0.016191869974136353,0.024755075573921204,0.021963726729154587
ext_72,0.02286561019718647,0.022456157952547073,0.013932755216956139,0.024527952075004578,0.01985848881304264
ext_73,0.022925416007637978,0.0184355266392231,0.01818676106631756,0.024056458845734596,0.02329816296696663
ext_74,0.024305332452058792,0.01371648907661438,0.01713888719677925,0.025056913495063782,0.02047310769557953
ext_75,0.022436507046222687,0.01669429987668991,0.019593752920627594,0.024319402873516083,0.02495523914694786
ext_76,0.02241075038909912,0.015651173889636993,0.015472490340471268,0.02380974031984806,0.01929660513997078
ext_77,0.023047950118780136,0.01677539572119713,0.019461993128061295,0.024830181151628494,0.023877084255218506
ext_78,0.023730404675006866,0.01818939857184887,0.01587028242647648,0.02525210566818714,0.020208952948451042
ext_79,0.02398531883955002,0.016055826097726822,0.022520827129483223,0.025813382118940353,0.027632731944322586
ext_80,0.023515956476330757,0.011644145473837852,0.015769219025969505,0.027315447106957436,0.007967100478708744
ext_81,0.025661176070570946,0.01151300873607397,0.016293730586767197,0.02917475625872612,0.016881663352251053
ext_82,0.024444622918963432,0.016046054661273956,0.020393958315253258,0.02641219273209572,0.025848016142845154
ext_83,0.023409700021147728,0.015776824206113815,0.015810096636414528,0.02551480568945408,0.01912880688905716
ext_84,0.02159024216234684,0.01912589929997921,0.01545240543782711,0.02373872511088848,0.02018413320183754
ext_85,0.023100072517991066,0.008304363116621971,0.017119739204645157,0.024901404976844788,0.01782500557601452
ext_86,0.022763602435588837,0.017564374953508377,0.016045279800891876,0.024592434987425804,0.00652374979108572
ext_87,0.023492177948355675,0.0,0.017219118773937225,0.02304823137819767,0.017871540039777756
ext_88,0.02325339801609516,0.01677340641617775,0.01569945551455021,0.02466415986418724,0.019374551251530647
ext_89,0.02471175231039524,0.012492923997342587,0.015870707109570503,0.028396686539053917,0.007842344231903553
ext_90,0.022694524377584457,0.005231731571257114,0.017626048997044563,0.02475742995738983,0.0177212655544281
ext_91,0.02559155970811844,0.017864426597952843,0.016361668705940247,0.02504941262304783,0.021104618906974792
ext_92,0.02365098148584366,0.01863117516040802,0.016304297372698784,0.02443496510386467,0.021181847900152206
ext_93,0.023657185956835747,0.020427173003554344,0.016324540600180626,0.02504127472639084,0.021062202751636505
ext_94,0.024584919214248657,0.014951005578041077,0.01624068059027195,0.027364283800125122,0.01899143122136593
ext_95,0.02238418161869049,0.023954957723617554,0.013715524226427078,0.02354215644299984,0.020366564393043518
ext_96,0.016885926946997643,0.003205444198101759,0.02706203982234001,0.0220183115452528,0.027149895206093788
ext_97,0.02299620397388935,0.022643934935331345,0.01594759151339531,0.024249492213129997,0.0215202197432518
ext_98,0.024178368970751762,0.006367226131260395,0.020895112305879593,0.0237649567425251,0.021849578246474266
ext_99,0.024104220792651176,0.015119890682399273,0.018237164244055748,0.02462826669216156,0.02221503108739853
ext_100,0.023363471031188965,0.01613546907901764,0.021050339564681053,0.024973751977086067,0.02539670653641224
ext_101,0.023909885436296463,0.0024720518849790096,0.017510347068309784,0.025114756077528,0.017244823276996613
ext_102,0.020477069541811943,0.02503405697643757,0.015235436148941517,0.022105133160948753,0.022678744047880173
ext_103,0.02148343436419964,0.02196882851421833,0.0180579274892807,0.022435739636421204,0.02360530011355877
ext_104,0.02137160860002041,0.019364671781659126,0.021121764555573463,0.02361833117902279,0.02583436481654644
ext_105,0.024685559794306755,0.015082755126059055,0.017146697267889977,0.02609427459537983,0.02107173763215542
ext_106,0.024478310719132423,0.018216734752058983,0.01579059287905693,0.024845575913786888,0.02120705135166645
ext_107,0.024007130414247513,0.01887623965740204,0.022003265097737312,0.02473939210176468,0.02715412899851799
ext_108,0.025118673220276833,0.0,0.01859857514500618,0.024364108219742775,0.01945234276354313
ext_109,0.008371752686798573,0.019649989902973175,0.016740351915359497,0.016348695382475853,0.02177727036178112
ext_110,0.024211907759308815,0.013884583488106728,0.01606210693717003,0.027909865602850914,0.015911737456917763
ext_111,0.02523713931441307,0.0105102164670825,0.01854686625301838,0.0244284775108099,0.02203320525586605
ext_112,0.02254291996359825,0.01624928042292595,0.015623520128428936,0.02367495186626911,0.01947229541838169
ext_113,0.022910963743925095,0.020496509969234467,0.015910761430859566,0.02508525736629963,0.020803863182663918
ext_114,0.020585451275110245,0.009357907809317112,0.028963813558220863,0.025022542104125023,0.03160543367266655
ext_115,0.022442586719989777,0.018294302746653557,0.015472464263439178,0.023882631212472916,0.015926405787467957
ext_116,0.022973863407969475,0.017114637419581413,0.017811857163906097,0.025774164125323296,0.02198394201695919
ext_117,0.020870158448815346,0.001404292182996869,0.024696756154298782,0.02310771681368351,0.024514535441994667
ext_118,0.02352452650666237,0.019135328009724617,0.011809761635959148,0.024804603308439255,0.009794017300009727
ext_119,0.02465212531387806,0.015677837654948235,0.015581367537379265,0.0282827690243721,0.018253609538078308
ext_120,0.0009245100081898272,0.01493419986218214,0.026710569858551025,0.015253672376275063,0.033080242574214935
ext_121,0.0247616246342659,0.01427700836211443,0.01713736355304718,0.028607185930013657,0.019213223829865456
ext_122,0.024818940088152885,0.0,0.022102152928709984,0.025619542226195335,0.022194767370820045
ext_123,0.025175418704748154,0.016693977639079094,0.020784396678209305,0.02546757645905018,0.02419532835483551
ext_124,0.0013912682188674808,0.0,0.02094300277531147,0.016662199050188065,0.01939396746456623
ext_125,0.02369098737835884,0.015703359618782997,0.016614075750112534,0.02408975549042225,0.02092699520289898
ext_126,0.02636307291686535,0.014513778500258923,0.017615051940083504,0.030941277742385864,0.019186409190297127
ext_127,0.02249080501496792,0.01468581985682249,0.01653757318854332,0.025716537609696388,0.018091993406414986
ext_128,0.02389843575656414,0.014143528416752815,0.01639840565621853,0.025874005630612373,0.01926731877028942
ext_129,0.023559506982564926,0.016513966023921967,0.016599250957369804,0.025220099836587906,0.016857679933309555
ext_130,0.009672634303569794,0.01583511382341385,0.027312403544783592,0.018850130960345268,0.03165753185749054
ext_131,0.023923099040985107,0.01478538941591978,0.01601373963057995,0.02663320302963257,0.0177535992115736
ext_132,0.023655863478779793,0.012057414278388023,0.01699218899011612,0.025582661852240562,0.013916554860770702
ext_133,0.02388836443424225,0.014170379377901554,0.01629103720188141,0.02611450105905533,0.01836436428129673
ext_134,0.02332548424601555,0.017212729901075363,0.016218703240156174,0.026556342840194702,0.019749706611037254
ext_135,0.02436784654855728,0.011892176233232021,0.01878410391509533,0.026943927630782127,0.022058848291635513
ext_136,0.023698605597019196,0.01732577756047249,0.015915140509605408,0.02447379380464554,0.020067695528268814
