sample_id,cell_type,mean,std,q0.05,q0.25,q0.75,q0.95,interval_width,disagreement
cal_255,NK,0.008823692798614502,0.015039750374853611,0.0,0.0,0.012195391580462456,0.045164309442043304,0.045164309442043304,1.7044715487488034
cal_255,T_cell,0.14009572565555573,0.0637286826968193,0.025470394641160965,0.1073196679353714,0.18465672433376312,0.24171984195709229,0.21624944731593132,0.4548938081420613
cal_256,B,0.2441975176334381,0.03884752094745636,0.18221254646778107,0.21075986325740814,0.27517080307006836,0.2958216369152069,0.11360909044742584,0.15908236796635342
cal_256,DC,0.0006181948119774461,0.0035683223977684975,0.0,0.0,0.0,0.0,0.0,5.7720715346011895
cal_256,Monocyte,0.20924293994903564,0.021419135853648186,0.17191872000694275,0.19925843179225922,0.2262808084487915,0.24026554822921753,0.06834682822227478,0.10236491054472874
cal_256,NK,0.1106233298778534,0.05762660503387451,0.0,0.09343741089105606,0.14618858695030212,0.17267344892024994,0.17267344892024994,0.5209262809955285
cal_256,T_cell,0.43531808257102966,0.05002228170633316,0.35508835315704346,0.39916327595710754,0.46453914046287537,0.5102775692939758,0.15518921613693237,0.11490972362507805
cal_257,B,0.24813047051429749,0.031123792752623558,0.20361925661563873,0.22502848505973816,0.2736918330192566,0.30255046486854553,0.0989312082529068,0.12543317003261184
cal_257,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cal_257,Monocyte,1.8999086023541167e-05,0.00013299359125085175,0.0,0.0,0.0,0.0,0.0,6.996316976321232
cal_257,NK,0.019993599504232407,0.022403288632631302,0.0,0.0,0.03534834459424019,0.06052480265498161,0.06052480265498161,1.1205224663354956
cal_257,T_cell,0.7318569421768188,0.03632490709424019,0.6674308776855469,0.7068195343017578,0.7537915110588074,0.7821369767189026,0.11470609903335571,0.04963388950012185
cal_258,B,0.14827948808670044,0.022485414519906044,0.11019857972860336,0.1348465234041214,0.1614806056022644,0.17960864305496216,0.0694100633263588,0.15164210029061878
cal_258,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cal_258,Monocyte,0.46441176533699036,0.03642890974879265,0.41780632734298706,0.4302237033843994,0.4914650022983551,0.5267263054847717,0.10891997814178467,0.07844096916439898
cal_258,NK,0.014771988615393639,0.01811353489756584,0.0,0.0,0.02582695335149765,0.05102946236729622,0.05102946236729622,1.2262074597468515
cal_258,T_cell,0.3725367486476898,0.030266327783465385,0.3063511252403259,0.35719791054725647,0.3931538462638855,0.42065393924713135,0.11430281400680542,0.08124386944615156
cal_259,B,0.2418178766965866,0.03796982765197754,0.18117156624794006,0.22130310535430908,0.26887044310569763,0.2940000295639038,0.11282846331596375,0.15701827590454046
cal_259,DC,0.3525655269622803,0.10650421679019928,0.23253799974918365,0.29369470477104187,0.3622201979160309,0.5875893831253052,0.3550513833761215,0.3020834586041624
cal_259,Monocyte,0.1305064707994461,0.055130310356616974,0.01956218294799328,0.11261651664972305,0.17016556859016418,0.19258564710617065,0.17302346415817738,0.42243350689486187
cal_259,NK,0.06365878134965897,0.03637615591287613,0.0,0.045562684535980225,0.09137462079524994,0.11285152286291122,0.11285152286291122,0.5714239171314554
cal_259,T_cell,0.21145139634609222,0.040446341037750244,0.16301260888576508,0.18236516416072845,0.23082606494426727,0.2975251376628876,0.1345125287771225,0.19127960289632626
cal_260,B,0.28196239471435547,0.034122586250305176,0.22086255252361298,0.2589152455329895,0.30807459354400635,0.33699309825897217,0.11613054573535919,0.12101821264034603
cal_260,DC,0.4452175199985504,0.09046892076730728,0.32238125801086426,0.39844974875450134,0.46424445509910583,0.6454248428344727,0.3230435848236084,0.20320161420329033
cal_260,Monocyte,0.09359827637672424,0.04846730828285217,0.0,0.0743972435593605,0.12888063490390778,0.15806059539318085,0.15806059539318085,0.5178226029456976
cal_260,NK,0.006465780548751354,0.011924294754862785,0.0,0.0,0.006384029984474182,0.036453116685152054,0.036453116685152054,1.8442129643629663
cal_260,T_cell,0.17275598645210266,0.05036048963665962,0.09041943401098251,0.14394144713878632,0.19162419438362122,0.2737177312374115,0.18329829722642899,0.29151225237279843
cal_261,B,0.1047879010438919,0.02290503866970539,0.07125261425971985,0.08906935155391693,0.11967500299215317,0.14215201139450073,0.07089939713478088,0.21858474361714578
cal_261,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cal_261,Monocyte,0.41263264417648315,0.03592907264828682,0.36597535014152527,0.3795522451400757,0.43935227394104004,0.47384849190711975,0.10787314176559448,0.08707278080061967
cal_261,NK,0.040699418634176254,0.029034949839115143,0.0,0.020257528871297836,0.05961175262928009,0.08791883289813995,0.08791883289813995,0.713399445974871
cal_261,T_cell,0.4418800473213196,0.03134377300739288,0.3888872265815735,0.41651153564453125,0.46424075961112976,0.49016422033309937,0.10127699375152588,0.07093276215586439
cal_262,B,0.32452183961868286,0.03575915843248367,0.2718244791030884,0.3021063804626465,0.3504142761230469,0.3772648572921753,0.10544037818908691,0.11019029527442026
cal_262,DC,0.3096807897090912,0.0990573912858963,0.18560196459293365,0.256126344203949,0.33232760429382324,0.5268805623054504,0.3412785977125168,0.3198693344209557
cal_262,Monocyte,0.1722131371498108,0.05286087840795517,0.06662696599960327,0.15422888100147247,0.2124243974685669,0.23644410073757172,0.16981713473796844,0.30695030712127164
cal_262,NK,0.052176591008901596,0.03148866072297096,0.0,0.03414551168680191,0.07663709670305252,0.09722317010164261,0.09722317010164261,0.6035015718559136
cal_262,T_cell,0.14140766859054565,0.040493808686733246,0.08447308838367462,0.11568893492221832,0.16056972742080688,0.22155822813510895,0.13708513975143433,0.28636216286376837
cal_263,B,0.36910751461982727,0.044831786304712296,0.3089933395385742,0.3354775309562683,0.397236704826355,0.45177552103996277,0.14278218150138855,0.1214599630578869
cal_263,DC,0.0005132676451466978,0.003592873690649867,0.0,0.0,0.0,0.0,0.0,6.9998639617803775
cal_263,Monocyte,0.24709810316562653,0.02148871123790741,0.2162850946187973,0.22817659378051758,0.26110997796058655,0.2804679870605469,0.06418289244174957,0.0869642870300018
cal_263,NK,0.013747855089604855,0.01755393110215664,0.0,0.0,0.02367357350885868,0.051983367651700974,0.051983367651700974,1.2768477860194931
cal_263,T_cell,0.3695332407951355,0.0412534736096859,0.2947414517402649,0.34159746766090393,0.40074610710144043,0.43127673864364624,0.13653528690338135,0.11163670257255495
cal_264,B,0.41776660084724426,0.042918622493743896,0.35369017720222473,0.38288596272468567,0.443937748670578,0.4759579300880432,0.12226775288581848,0.10273349133073018
cal_264,DC,0.019433170557022095,0.04177166894078255,0.0,0.0,0.0025384435430169106,0.1280013918876648,0.1280013918876648,2.149502435703379
cal_264,Monocyte,0.07238364964723587,0.03871360048651695,0.0,0.062080539762973785,0.09724016487598419,0.11831573396921158,0.11831573396921158,0.5348389494975655
cal_264,NK,0.014717050828039646,0.019084108993411064,0.0,0.0,0.02727729268372059,0.055561378598213196,0.055561378598213196,1.2967337171734121
cal_264,T_cell,0.4756995141506195,0.03825124725699425,0.41721364855766296,0.44968709349632263,0.5010789036750793,0.5396180152893066,0.12240436673164368,0.08041052243071585
cal_265,B,0.4536088705062866,0.05576612427830696,0.3530125319957733,0.41197869181632996,0.4948493540287018,0.5142238736152649,0.16121134161949158,0.12293878421441992
cal_265,DC,0.07532446831464767,0.08817009627819061,0.0,0.01616978459060192,0.10197550803422928,0.26675817370414734,0.26675817370414734,1.1705370983106427
cal_265,Monocyte,0.18980838358402252,0.06030808016657829,0.06158119812607765,0.1766667366027832,0.23119984567165375,0.25484535098075867,0.19326415285468102,0.3177313659729263
cal_265,NK,0.014198406599462032,0.01898949407041073,0.0,0.0,0.02628500759601593,0.05784192308783531,0.05784192308783531,1.337437448562414
cal_265,T_cell,0.267059862613678,0.052349306643009186,0.17621304094791412,0.23522451519966125,0.304057776927948,0.3512764871120453,0.17506344616413116,0.1960208627776003
cal_266,B,0.13318119943141937,0.024065300822257996,0.09567810595035553,0.11406419426202774,0.15061253309249878,0.16741643846035004,0.0717383325099945,0.18069591742707694
cal_266,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cal_266,Monocyte,0.17272524535655975,0.01737244240939617,0.14820048213005066,0.15807288885116577,0.18586739897727966,0.2034127563238144,0.05521227419376373,0.10057847286740978
