scenario,fraction_retained,n_retained,reject_high_mae,reject_low_mae,mean_absolute_error
low_depth_medium,0.35,175,0.06400877697190448,0.09982025499101635,0.06400877697190448
low_depth_medium,0.30000000000000004,150,0.0622897263606442,0.10183658530128473,0.0622897263606442
low_depth_medium,0.25,125,0.061324495310443254,0.10245471622969504,0.061324495310443254
low_depth_medium,0.19999999999999996,99,0.060488480275542954,0.10392350471528447,0.060488480275542954
low_depth_medium,0.15000000000000002,75,0.05807090712834208,0.10552817072469513,0.05807090712834208
low_depth_medium,0.09999999999999998,49,0.055563001894786745,0.10786001877815299,0.055563001894786745
low_depth_medium,0.050000000000000044,25,0.05155170298827949,0.11225752309804485,0.05155170298827949
low_depth_medium,0.0,1,0.052217229955470755,0.10931884051516202,0.052217229955470755
low_depth_high,1.0,500,0.08054085348431667,0.08054085348431667,0.08054085348431667
low_depth_high,0.95,475,0.07893329927885226,0.08189295101852787,0.07893329927885226
low_depth_high,0.9,450,0.0775158206031424,0.08315095545418053,0.0775158206031424
low_depth_high,0.85,425,0.07638393720107405,0.0848227589751447,0.07638393720107405
low_depth_high,0.8,400,0.07464966973399047,0.08634227264680751,0.07464966973399047
low_depth_high,0.75,375,0.07329549337039212,0.08807376323283238,0.07329549337039212
low_depth_high,0.7,350,0.07236007734343197,0.08959457078099531,0.07236007734343197
low_depth_high,0.65,325,0.07101345958877898,0.09102005244167527,0.07101345958877898
low_depth_high,0.6,300,0.06991871418992145,0.09214698546805117,0.06991871418992145
low_depth_high,0.55,275,0.06821319053065182,0.09262832092724799,0.06821319053065182
low_depth_high,0.5,250,0.06743856172495372,0.09364314524367962,0.06743856172495372
low_depth_high,0.44999999999999996,224,0.06565238556839288,0.09563664789973318,0.06565238556839288
low_depth_high,0.4,200,0.0631316555087149,0.09647406242590946,0.0631316555087149
low_depth_high,0.35,175,0.061079483992079235,0.0982345850046009,0.061079483992079235
low_depth_high,0.30000000000000004,150,0.05941551312539983,0.09962933114638094,0.05941551312539983
low_depth_high,0.25,125,0.05794212423876958,0.1022769338260903,0.05794212423876958
low_depth_high,0.19999999999999996,99,0.057231814335569973,0.10443642161991702,0.057231814335569973
low_depth_high,0.15000000000000002,75,0.05627672236962441,0.10409671242269147,0.05627672236962441
low_depth_high,0.09999999999999998,49,0.05666476196295517,0.10763651562024806,0.05666476196295517
low_depth_high,0.050000000000000044,25,0.05485100033430376,0.11108438338813997,0.05485100033430376
low_depth_high,0.0,1,0.06752874381392884,0.10174395145132689,0.06752874381392884
