scenario,score_name,retained_fraction,reject_high_mae,reject_low_mae,reject_high_delta_vs_all,reject_low_delta_vs_all
gaussian_noise_medium,mean_interval_width,0.5,0.06984501190095548,0.09401749241589114,-0.01208624025746785,0.012086240257467809
gaussian_noise_medium,mean_interval_width,0.25,0.06284480310483691,0.10118371762363437,-0.01908644905358642,0.019252465465211047
gaussian_noise_medium,max_interval_width,0.9,0.08010238849339497,0.0835513339944175,-0.0018288636650283518,0.001620081835994172
gaussian_noise_medium,max_interval_width,0.75,0.07686584414639651,0.08632563592612287,-0.0050654080120268175,0.0043943837676995445
gaussian_noise_medium,max_interval_width,0.5,0.07234181657864933,0.09152068773819728,-0.009589435579774,0.009589435579773958
gaussian_noise_medium,max_interval_width,0.25,0.0687481008553246,0.09712747619450372,-0.01318315130309873,0.015196224036080397
gaussian_noise_medium,mean_disagreement,0.9,0.08365275253075868,0.08367717643084724,0.0017215003723353578,0.0017459242724239127
gaussian_noise_medium,mean_disagreement,0.75,0.08497447774190255,0.0845266894915615,0.00304322558347922,0.002595437333138176
gaussian_noise_medium,mean_disagreement,0.5,0.08525299527485619,0.07860950904199043,0.0033217431164328654,-0.003321743116432893
gaussian_noise_medium,mean_disagreement,0.25,0.07414494015900872,0.07280157540798561,-0.007786311999414611,-0.009129676750437715
gaussian_noise_medium,max_disagreement,0.9,0.08337554948299117,0.08337664363292621,0.001444297324567842,0.0014453914745028856
gaussian_noise_medium,max_disagreement,0.75,0.08503081109322183,0.08271615164168057,0.0030995589347985048,0.0007848994832572453
gaussian_noise_medium,max_disagreement,0.5,0.08499425395642049,0.0788682503604261,0.003063001797997164,-0.0030630017979972196
gaussian_noise_medium,max_disagreement,0.25,0.07957655370865153,0.07263257535402774,-0.0023546984497717915,-0.009298676804395584
gaussian_noise_high,mean_std,0.9,0.08597389480448249,0.09025494155957359,-0.0011570137752071608,0.0031240329798839367
gaussian_noise_high,mean_std,0.75,0.0827745379421912,0.09354884771355898,-0.004356370637498455,0.00641793913386933
gaussian_noise_high,mean_std,0.5,0.07737866974109425,0.09688314741828502,-0.009752238838595398,0.00975223883859537
gaussian_noise_high,mean_std,0.25,0.06787709117808166,0.10020002049218496,-0.01925381740160799,0.01306911191249531
gaussian_noise_high,max_std,0.9,0.08598133860144715,0.08931133037582903,-0.001149569978242504,0.0021804217961393785
gaussian_noise_high,max_std,0.75,0.0827855351058697,0.0910961348074209,-0.004345373473819955,0.003965226227731253
gaussian_noise_high,max_std,0.5,0.07949753508729401,0.09476428207208527,-0.007633373492395637,0.007633373492395623
gaussian_noise_high,max_std,0.25,0.07523522989649589,0.10016702900114949,-0.011895678683193758,0.013036120421459838
gaussian_noise_high,mean_interval_width,0.9,0.08567356333280095,0.09024992376625723,-0.0014573452468887027,0.0031190151865675836
gaussian_noise_high,mean_interval_width,0.75,0.08302397632917961,0.09336448798899857,-0.004106932250510037,0.006233579409308923
gaussian_noise_high,mean_interval_width,0.5,0.07746192332147847,0.09679989383790082,-0.00966898525821118,0.009668985258211166
gaussian_noise_high,mean_interval_width,0.25,0.06843017035176287,0.0994517053312197,-0.018700738227926783,0.012320796751530055
gaussian_noise_high,max_interval_width,0.9,0.085997433005664,0.08950279774936427,-0.0011334755740256552,0.0023718891696746236
gaussian_noise_high,max_interval_width,0.75,0.08404476712528952,0.09047638229843193,-0.003086141454400129,0.0033454737187422756
gaussian_noise_high,max_interval_width,0.5,0.07974478275117781,0.09451703440820149,-0.007386125828511836,0.007386125828511836
gaussian_noise_high,max_interval_width,0.25,0.07709448742346277,0.09638933294289002,-0.010036421156226882,0.009258424363200374
gaussian_noise_high,mean_disagreement,0.9,0.0882692785635274,0.08797303555828095,0.0011383699838377476,0.0008421269785913038
gaussian_noise_high,mean_disagreement,0.75,0.0894861650194099,0.08985539001036529,0.0023552564397202463,0.002724481430675635
gaussian_noise_high,mean_disagreement,0.5,0.08924347721959566,0.08501833993978361,0.0021125686399060123,-0.00211256863990604
gaussian_noise_high,mean_disagreement,0.25,0.07895746428766273,0.08006513926052887,-0.008173444292026918,-0.007065769319160781
gaussian_noise_high,max_disagreement,0.9,0.08817491231867057,0.08719545436762513,0.0010440037389809198,6.454578793547994e-05
gaussian_noise_high,max_disagreement,0.75,0.08964426608963845,0.08887014839102318,0.0025133575099487993,0.0017392398113335317
gaussian_noise_high,max_disagreement,0.5,0.08881044511639684,0.08545137204298245,0.001679536536707188,-0.0016795365367072018
gaussian_noise_high,max_disagreement,0.25,0.081913189145689,0.07959083604984324,-0.0052177194340006505,-0.007540072529846412
dropout_low,mean_std,0.9,0.08043649661598959,0.08494269650354572,-0.002535466802327316,0.0019707330852288124
dropout_low,mean_std,0.75,0.07611798239014868,0.08886316230037937,-0.006853981028168227,0.005891198882062465
dropout_low,mean_std,0.5,0.06925401337884138,0.09668991345779246,-0.013717950039475527,0.013717950039475554
dropout_low,mean_std,0.25,0.06529836677212952,0.10353390650282168,-0.01767359664618738,0.020561943084504777
dropout_low,max_std,0.9,0.0809208320699151,0.08466357056390915,-0.002051131348401805,0.0016916071455922443
dropout_low,max_std,0.75,0.07800970800629205,0.08793102551488827,-0.004962255412024857,0.004959062096571362
dropout_low,max_std,0.5,0.07193494774985683,0.09400897908677701,-0.011037015668460076,0.011037015668460104
dropout_low,max_std,0.25,0.0680947771286029,0.09785872965439149,-0.014877186289714003,0.014886766236074586
dropout_low,mean_interval_width,0.9,0.08039188509278518,0.08530133662105538,-0.002580078325531726,0.0023293732027384745
