scenario,score_name,pearson_score_mae,spearman_score_mae,top10_uncertain_mae,bottom10_uncertain_mae,overall_mae,top10_minus_bottom10,auroc_fail_gt0.10,auroc_fail_gt0.15,failure_rate_gt0.10,failure_rate_gt0.15
dropout_high,mean_interval_width,0.1642732693160476,0.12642338569354275,0.13238862272758817,0.09915258029608522,0.10811731410555055,0.03323604243150295,0.5580227375492539,0.5674841590334548,0.548,0.142
dropout_high,max_interval_width,0.21121162200572252,0.171312589250357,0.13199664864775765,0.09723110787591394,0.10811731410555055,0.03476554077184371,0.589335314256185,0.5856725434190222,0.548,0.142
dropout_high,mean_disagreement,0.10946622046139241,0.10605882423529693,0.11164918838438696,0.09764631503587769,0.10811731410555055,0.014002873348509276,0.5672275692784704,0.5311402212810663,0.548,0.142
dropout_high,max_disagreement,0.05434421473805556,0.05384584738338953,0.11436828532363373,0.09691483882180714,0.10811731410555055,0.01745344650182659,0.5445384665073316,0.5086181424209593,0.548,0.142
low_depth_medium,mean_std,0.5883904682370097,0.5865607142428569,0.10362645382621924,0.056874902674104895,0.0792023412144963,0.046751551152114344,0.7845194782145709,,0.236,0.0
low_depth_medium,max_std,0.527134843733883,0.5257906471625886,0.09818916118524125,0.06145210050384918,0.0792023412144963,0.03673706068139207,0.7646641228148017,,0.236,0.0
low_depth_medium,mean_interval_width,0.571549422485938,0.5684059856239425,0.10083091216518741,0.05507564580244842,0.0792023412144963,0.045755266362738994,0.7761336409619309,,0.236,0.0
low_depth_medium,max_interval_width,0.4774781370456872,0.48507928431713726,0.09411485731538746,0.061496003926567025,0.0792023412144963,0.03261885338882044,0.7402387079598899,,0.236,0.0
low_depth_medium,mean_disagreement,-0.2565407748431096,-0.23417738470953883,0.06084427618707172,0.06049083168135969,0.0792023412144963,0.0003534445057120292,0.35644245274647257,,0.236,0.0
low_depth_medium,max_disagreement,-0.27364479207957565,-0.25609158436633744,0.06460269000909244,0.07502442185933116,0.0792023412144963,-0.010421731850238716,0.3554885082970982,,0.236,0.0
low_depth_high,mean_std,0.6037777493133005,0.6018459913839656,0.10189178569766348,0.054713651970763666,0.07944554322815622,0.047178133726899815,0.7934210526315788,,0.24,0.0
low_depth_high,max_std,0.5295483185624206,0.5329297157188628,0.09700166010106358,0.0588121733333142,0.07944554322815622,0.03818948676774938,0.7651096491228071,,0.24,0.0
low_depth_high,mean_interval_width,0.602187326589573,0.6017337669350677,0.10211710912142764,0.05426404489040237,0.07944554322815622,0.047853064231025276,0.7925657894736842,,0.24,0.0
low_depth_high,max_interval_width,0.49515700712763316,0.5032333409333637,0.09494986062034247,0.06045151665171419,0.07944554322815622,0.034498343968628276,0.7503728070175438,,0.24,0.0
low_depth_high,mean_disagreement,-0.14063073165054504,-0.08628984915939662,0.06442344814321477,0.06476340948583115,0.07944554322815622,-0.00033996134261637945,0.40092105263157896,,0.24,0.0
low_depth_high,max_disagreement,-0.1868793295012023,-0.14752302209208837,0.06457740139564318,0.0775317570212986,0.07944554322815622,-0.012954355625655417,0.38473684210526315,,0.24,0.0
